loc,longitude,latitude,year,date,gens,DD_vince,jd_vince,obsp,predict,moths,cumoths,dataset
3530,-119.1915512,35.55502701,2013,9/18/2013,3,1615,261,0.131455392,0.169789851,56,56,1
3530,-119.1915512,35.55502701,2013,9/26/2013,3,1675,269,0.316901416,0.300773412,79,135,1
3530,-119.1915512,35.55502701,2013,10/2/2013,3,1720,275,0.494131446,0.441863954,75.5,210.5,1
3530,-119.1915512,35.55502701,2013,10/9/2013,3,1766,282,0.687793434,0.61003691,82.5,293,1
3530,-119.1915512,35.55502701,2013,10/16/2013,3,1805,289,0.799295783,0.752809584,47.5,340.5,1
3530,-119.1915512,35.55502701,2013,10/23/2013,3,1855,296,0.92488265,0.897895813,53.5,394,1
3541,-119.2307053,35.60546875,2013,6/5/2013,1,669,156,0.232876718,0.210455671,7,8.5,1
3541,-119.2307053,35.60546875,2013,6/12/2013,1,729,163,0.328767121,0.318833113,3.5,12,1
3541,-119.2307053,35.60546875,2013,6/19/2013,1,794,170,0.506849289,0.461660236,6.5,18.5,1
3541,-119.2307053,35.60546875,2013,6/26/2013,1,866,177,0.589041114,0.635810792,3,21.5,1
3541,-119.2307053,35.60546875,2013,7/3/2013,1,920,184,0.726027369,0.757559061,5,26.5,1
3541,-119.2307053,35.60546875,2013,7/10/2013,1,973,191,0.89041096,0.855983853,6,32.5,1
3541,-119.2307053,35.60546875,2013,7/16/2013,1,1020,197,0.94520545,0.920144975,2,34.5,1
3631,-119.2043228,35.53890228,2013,3/27/2013,0,178,86,0.06377551,0.176476419,7,12.5,1
3631,-119.2043228,35.53890228,2013,4/3/2013,0,217,93,0.153061226,0.301047593,17.5,30,1
3631,-119.2043228,35.53890228,2013,4/10/2013,0,248,100,0.28061223,0.422734559,25,55,1
3631,-119.2043228,35.53890228,2013,4/17/2013,0,283,107,0.415816337,0.563811541,26.5,81.5,1
3631,-119.2043228,35.53890228,2013,4/24/2013,0,340,114,0.586734712,0.769342542,33.5,115,1
3631,-119.2043228,35.53890228,2013,5/1/2013,0,403,121,0.732142866,0.918841481,28.5,143.5,1
3631,-119.2043228,35.53890228,2013,5/8/2013,0,452,128,0.867346942,0.972356677,26.5,170,1
3640,-119.2464218,35.52485657,2013,4/3/2013,0,217,93,0.156398103,0.301047593,12,16.5,1
3640,-119.2464218,35.52485657,2013,4/10/2013,0,248,100,0.255924165,0.422734559,10.5,27,1
3640,-119.2464218,35.52485657,2013,4/17/2013,0,283,107,0.407582939,0.563811541,16,43,1
3640,-119.2464218,35.52485657,2013,4/24/2013,0,340,114,0.530805707,0.769342542,13,56,1
3640,-119.2464218,35.52485657,2013,5/1/2013,0,403,121,0.725118458,0.918841481,20.5,76.5,1
3640,-119.2464218,35.52485657,2013,9/18/2013,3,1615,261,0.111111112,0.169789851,36,36,1
3640,-119.2464218,35.52485657,2013,9/26/2013,3,1675,269,0.200617284,0.300773412,29,65,1
3640,-119.2464218,35.52485657,2013,10/2/2013,3,1720,275,0.311728388,0.441863954,36,101,1
3640,-119.2464218,35.52485657,2013,10/9/2013,3,1766,282,0.473765433,0.61003691,52.5,153.5,1
3640,-119.2464218,35.52485657,2013,10/16/2013,3,1805,289,0.592592597,0.752809584,38.5,192,1
3640,-119.2464218,35.52485657,2013,10/23/2013,3,1855,296,0.825617313,0.897895813,75.5,267.5,1
3680,-119.2229385,35.5361557,2013,3/27/2013,0,178,86,0.059171598,0.176476419,2.5,5,1
3680,-119.2229385,35.5361557,2013,4/3/2013,0,217,93,0.112426035,0.301047593,4.5,9.5,1
3680,-119.2229385,35.5361557,2013,4/10/2013,0,248,100,0.254437864,0.422734559,12,21.5,1
3680,-119.2229385,35.5361557,2013,4/17/2013,0,283,107,0.349112421,0.563811541,8,29.5,1
3680,-119.2229385,35.5361557,2013,4/24/2013,0,340,114,0.568047345,0.769342542,18.5,48,1
3680,-119.2229385,35.5361557,2013,5/1/2013,0,403,121,0.751479268,0.918841481,15.5,63.5,1
3740,-119.7153015,35.54929733,2013,4/3/2013,0,215,93,0.092182033,0.293530852,21,39.5,1
3740,-119.7153015,35.54929733,2013,4/10/2013,0,249,100,0.156359389,0.425833762,27.5,67,1
3740,-119.7153015,35.54929733,2013,4/17/2013,0,281,107,0.329054832,0.555210114,74,141,1
